name,city,province,sector,website_url
IBADAT International University Islamabad,"Sihala, Islamabad",,,https://resultinfo.pk/ibadat-international-university-islamabad-admission/
IQRA National University,Peshawar,,,https://www.ilmkidunya.com/colleges/iqra-national-university-inu-peshawar-admission.aspx
Ilma University,"Korangi Creek, Karachi",,,https://www.ilmkidunya.com/colleges/ilma-university-karachi-admission.aspx
Imperial College of Business Studies,Lahore,,,https://imperial.edu.pk/wp-content/uploads/2022/09/Admission-Policy-Final-2022-ICBS.pdf
Indus University,Karachi,,,https://blog.maqsad.io/blog/indus-university-admission-guide
Indus Valley School of Art and Architecture,"Clifton, Karachi",,,https://www.vstudents.org/education/indus-valley-karachi-admissions/
Information Technology University of the Punjab,"Arfa Software Technology Park, Ferozepur Road, Lahore",,,https://itu.edu.pk/admissions/application-process/
Institute for Art and Culture,Lahore,,,https://www.hec.gov.pk/english/universities/Pages/Punjab/Institute-for-Art-and-Culture.aspx
"Institute of Business Administration, Karachi (IBA)",Karachi,,,https://admissions.iba.edu.pk/
Institute of Business Management,Karachi,,,https://pmdc.org.pk/institute-of-business-management-iobm-admission-guide/
Institute of Management Sciences Peshawar,Peshawar,,,https://jaamiah.com/university/imsciences-peshawar/
Institute of Space Technology,Islamabad,,,https://www.eduvision.edu.pk/merit/ist-merit-calculator.php
International Islamic University Islamabad,Islamabad,,,https://www.iiu.edu.pk/about-iiu/location/
Iqra University,Karachi (also Islamabad campus),,,https://www.iqrauni.edu.pk/admission-criteria
Islamia College University,Peshawar,,,https://pmdc.org.pk/islamia-college-university-peshawar-icup-admission-guide/
Jinnah Sindh Medical University,Karachi,,,http://www.jsmu.edu.pk
Jinnah University for Women,"5-C Nazimabad, Karachi",,,https://www.ilmkidunya.com/admissions/Admission-Open-in-Jinnah-University-for-Women-Karachi-23226.aspx
KASB Institute of Technology,Karachi (3 campuses),,,https://kasbit.edu.pk/
Karachi Institute of Economics and Technology (PAF-KIET),"Korangi Creek, Karachi",,,https://kiet.edu.pk/faqs/
Karachi Institute of Medical Sciences (KIMS Malir),"Malir, Karachi (affiliated with Combined Military Hospital Malir)",,,https://www.pakadmissions.com/karachi-institute-of-medical-sciences-malir-karachi-kims-karachi
Karachi Institute of Technology & Entrepreneurship,"Plot 3 & 3A, Sector 47, Korangi Creek Road, Karachi",,,http://kite.edu.pk/faqs/
Karachi School for Business and Leadership (KSBL),"National Stadium Road, Karachi",,,https://blog.maqsad.io/blog/ksbl-admission-guide
Karakoram International University,Gilgit,,,https://www.pakadmissions.com/karakoram-international-university-gilgit-kiu-ghizer-spring-admissions-2026
Khawaja Fareed University of Engineering and Information Technology,Rahim Yar Khan,,,https://www.ilmkidunya.com/colleges/khwaja-fareed-university-of-engineering-and-information-technology-rahim-yar-khan-merit-lists.aspx
Khushal Khan Khattak University,"Opposite Tableghi Markaz, Karak",,,https://kkkuk.edu.pk/provisional-merit-list-of-departments-for-admission-fall-2025/
Khyber Medical University,Peshawar,,,https://caspr.kmu.edu.pk/list.php
King Edward Medical University,Lahore,,,https://mbbs.org.pk/kemu-admission/
Kinnaird College for Women University,Lahore,,,https://www.pakadmissions.com/kinnaird-college-for-women-lahore-kcw-fall-admission-2026
Kohat University of Science and Technology,Kohat,,,https://kust.edu.pk/
Kohsar University Murree,Murree,,,https://www.ilmkidunya.com/colleges/kohsar-university-murree-admission.aspx
Lahore Garrison University,Lahore,,,https://lgu.edu.pk/merit-list/
Lahore Leads University,Lahore,,,https://gotest.com.pk/admissions/lahore-leads-university-admissions/
Lahore School of Economics,"DHA Phase VI, Lahore (also Gulberg city campus)",,,https://pmdc.org.pk/lahore-school-of-economics-lse-admission-guide/
Lahore University of Biological and Applied Sciences,Lahore,,,https://ubas.edu.pk/
Lahore University of Management Sciences,Lahore,,,https://www.vstudents.org/education/lums-university-lahore-admissions/
Lasbela University of Agriculture Water and Marine Sciences,"Uthal, Lasbela",,,https://www.result.pk/colleges/lasbela-university-of-agriculture-water-and-marine-sciences.html
Liaquat University of Medical and Health Sciences,Jamshoro,,,http://www.lumhs.edu.pk
Malir University of Science and Technology,"Koohi Goth, Deh Landhi, Bin Qasim Town, National Highway, Karachi",,,https://maliruniversity.edu.pk/
Mehran University of Engineering and Technology,Jamshoro,,,https://pmdc.org.pk/mehran-university-engineering-technology-muet-admission-guide/
Millennium Institute of Technology and Entrepreneurship,"Korangi Creek, Karachi",,,https://www.arqumhouse.edu.pk/millennium-institute-of-technology-entrepreneurship-karachi-admission
Mir Chakar Khan Rind University,"Luni Road, Sibi, Balochistan",,,https://jaamiah.com/university/mir-chakar-khan-rind-university-sibi/
Mirpur University of Science and Technology,"Allama Iqbal Road, Mirpur, Azad Kashmir",,,https://www.ilmkidunya.com/colleges/mirpur-university-of-science-technology-must-mirpur-azad-kashmir-merit-lists.aspx
Muhammad Ali Jinnah University,Karachi,,,http://www.jinnah.edu
Muhammad Nawaz Sharif University of Agriculture,Multan,,,https://gotest.com.pk/merit-list/mns-university-of-agriculture-multan-merit-list/
Multan University of Science and Technology,Multan,,,https://pmdc.org.pk/multan-university-of-science-and-technology-must-admission-guide/
Muslim Youth University,Islamabad,,,https://www.ilmkidunya.com/colleges/muslim-youth-university-admission.aspx
NED University of Engineering and Technology,Karachi,,,https://www.eduvision.edu.pk/entry-test/ned-entry-test-pattern-deadline-weightage-aggregate-merit
Namal University,Mianwali,,,https://studies.com.pk/namal-university-mianwali-merit-list/
National College of Arts,Lahore (also Rawalpindi campus),,,https://jaamiah.com/university/national-college-of-arts-university/
National College of Business Administration and Economics,Lahore,,,http://www.ncbae.edu.pk
National Defence University,Islamabad,,,https://ndu.edu.pk/admissions.php
National Skills University,"H-8/1, Islamabad",,,https://nsu.edu.pk/bba
National Textile University,Faisalabad,,,http://www.ntu.edu.pk/
National University of Computer and Emerging Sciences,Islamabad,,,https://maqsad.io/fast-aggregate-calculator
National University of Medical Sciences,Rawalpindi,,,https://mdcatmentor.org/nums-mdcat/
National University of Modern Languages,Islamabad (multi-campus),,,https://pmdc.org.pk/national-university-modern-languages-numl-admission-guide/
National University of Sciences and Technology,Islamabad,,,https://blog.maqsad.io/blog/nust-closing-merits
National University of Technology,Islamabad,,,https://en.wikipedia.org/wiki/National_University_of_Technology
Nazeer Hussain University,"ST-2 Block-4, Federal B Area, Karachi",,,https://admissions.com.pk/nhu-admission/
Newports Institute of Communications and Economics,Karachi (3 campuses),,,https://www.studysolutions.pk/newports-institute-of-communication-and-economics-karachi-admission
Nishtar Medical University,Multan,,,https://www.ilmkidunya.com/colleges/nishtar-medical-college-multan-merit-lists.aspx
Northern University Nowshera,"Wattar Walai Ziarat, Kaka Sahib Road, Nowshera Cantt",,,https://www.result.pk/colleges/northern-university.html
Pak-Austria Fachhochschule IAST,Haripur,,,https://www.paf-iast.edu.pk/
Pakistan Institute of Engineering and Applied Sciences,"Nilore, Islamabad",,,https://admissionscorner.com/pakistan-institute-of-engineering-and-applied-sciences-pieas-admissions/
Pakistan Institute of Fashion and Design,Lahore,,,https://www.pifd.edu.pk/admission.html
Pakistan Naval Academy,Karachi,,,http://myu.edu.pk/
Peoples University of Medical and Health Sciences for Women,Nawabshah,,,http://www.pumhs.edu.pk
Pir Abdul Qadir Shah Jeelani Institute of Medical Sciences (Gambat Medical College),"Station Road, Gambat, Khairpur Mirs District, Sindh",,,https://www.ilmkidunya.com/colleges/pir-abdul-qadir-shah-jeelani-institute-of-medical-sciences-gambat.aspx
Pir Mehr Ali Shah Arid Agriculture University,"Shamsabad, Murree Road, Rawalpindi",,,https://www.ilmkidunya.com/colleges/pir-mehar-ali-shah-university-of-arid-agriculture-uaar-rawalpindi.aspx
Preston University (Islamabad),Islamabad (also Kohat campus),,,https://jaamiah.com/university/preston-university-peshawar/
Preston University (Karachi),"North Nazimabad, Karachi",,,https://www.ilmkidunya.com/colleges/preston-university-karachi.aspx
