name,min_percentage,field,link
Italy Scholarships for Pakistani Students 2026 ,65,All,https://scholarshipscorner.website/italy-scholarships-for-pakistani-students/
MEXT Undergraduate Scholarship 2027,75,Undergraduate,https://scholarshipscorner.website/mext-undergraduate-scholarship-japan/
Azerbaijan Government Scholarship 2026-267,70,All,https://scholarshipscorner.website/azerbaijan-government-scholarship/
HEC Need Based Scholarship,60,All,https://hec.gov.pk
PEEF Scholarship,60,Undergraduate,https://peef.org.pk
Ehsaas Undergraduate Scholarship,60,Undergraduate,https://hec.gov.pk/Urdu/services/students/Ehsaas/Pages/default.aspx
Turkey Government Scholarship 2026,70,Undergraduate,https://www.turkiyeburslari.gov.tr
